LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow,JT1
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,84,138.26,117.43,1,4.51,43,0.723274989
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,85,138.26,117.43,1,4.51,52,0.723274989
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,86,138.26,117.43,1,4.51,43.88,0.723274989
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,87,138.26,117.43,1,4.51,44.5,0.723274989
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,88,152.18,106.69,1,4.51,37,0.657116572
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,89,152.18,106.69,1,4.51,42.5,0.657116572
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,90,152.18,106.69,1,4.51,37,0.657116572
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,91,152.18,106.69,1,4.51,35.75,0.657116572
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,92,162.73,99.77,5,4.51,27.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,93,176.27,92.11,3,4.51,31,0.567311511
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,94,162.73,99.77,5,4.51,25.38,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/1/13 0:00,95,162.73,99.77,5,4.51,20.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,0,152.62,106.38,3,4.51,21.5,0.65522212
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,1,151.95,106.85,3,4.51,21.5,0.658111221
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,2,162.73,99.77,5,4.51,20.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,3,129.85,125.04,3,4.51,17,0.770119369
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,4,151.2,107.38,3,4.51,13.25,0.661375661
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,5,162.73,99.77,5,4.51,11,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,6,162.73,99.77,5,4.51,11.5,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,7,141.1,115.07,3,4.51,11.5,0.708717222
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,8,150.77,107.69,3,4.51,10,0.663261922
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,9,148.15,109.59,3,4.51,7,0.674991563
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,10,154.73,104.93,3,4.51,9,0.646287081
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,11,162.89,99.67,3,4.51,9,0.613911228
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,12,153.98,105.44,3,4.51,14.5,0.649434992
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,13,190.01,85.45,3,4.51,13,0.52628809
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,14,138.26,117.43,3,4.51,17.5,0.723274989
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,15,163.9,99.06,3,4.51,15.5,0.610128127
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,16,162.73,99.77,5,4.51,11.75,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,17,146.63,110.73,3,4.51,17.75,0.681988679
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,18,128.7,126.15,3,4.51,25,0.777000777
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,19,139.01,116.8,3,4.51,28.5,0.719372707
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,20,157.72,102.94,3,4.51,35,0.634034999
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,21,143.75,112.95,3,4.51,62.75,0.695652174
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,22,149.56,108.56,3,4.51,90,0.668627975
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,23,159.41,101.85,3,4.51,91.5,0.627313217
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,24,165.97,97.82,3,4.51,97,0.602518527
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,25,137.08,118.44,3,4.51,125.5,0.729501021
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,26,156.67,103.63,1,4.51,171.5,0.638284292
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,27,156.67,103.63,1,4.51,218.75,0.638284292
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,28,156.67,103.63,1,4.51,222,0.638284292
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,29,154.63,105,1,4.51,289.5,0.646705038
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,30,154.63,105,1,4.51,296.25,0.646705038
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,31,153.19,105.99,1,4.51,280,0.652784124
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,32,151.74,107,1,4.51,301.75,0.659022011
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,33,151.74,107,1,4.51,286,0.659022011
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,34,176.8,91.83,1,4.51,275.5,0.56561086
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,35,176.8,91.83,1,4.51,233.5,0.56561086
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,36,119.97,135.33,1,4.51,195.5,0.833541719
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,37,119.97,135.33,1,4.51,191.5,0.833541719
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,38,152.62,106.38,1,4.51,195,0.65522212
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,39,164,99,1,4.51,179,0.609756098
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,40,160.96,100.87,1,4.51,163.75,0.621272366
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,41,177.44,91.5,1,4.51,161,0.563570784
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,42,174.01,93.3,1,4.51,164.5,0.574679616
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,43,170.58,95.18,1,4.51,157.5,0.586235198
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,44,174.01,93.3,1,4.51,147,0.574679616
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,45,177.44,91.5,1,4.51,164,0.563570784
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,46,185.28,87.63,1,4.51,159.5,0.539723661
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,47,146.44,110.87,1,4.51,145.5,0.682873532
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,48,146.44,110.87,1,4.51,171.25,0.682873532
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,49,146.44,110.87,1,4.51,167.25,0.682873532
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,50,172.19,94.29,1,4.51,159.75,0.580753818
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,51,172.19,94.29,1,4.51,156,0.580753818
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,52,172.19,94.29,1,4.51,169.5,0.580753818
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,53,172.72,94,1,4.51,167.5,0.578971746
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,54,196.81,82.5,1,4.51,173,0.508104263
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,55,220.9,73.5,1,4.51,163.25,0.452693526
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,56,167.71,96.81,1,4.51,156,0.596267366
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,57,157.93,102.81,1,4.51,172.25,0.63319192
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,58,148.14,109.6,1,4.51,163.5,0.675037127
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,59,133.08,122,1,4.51,171,0.751427713
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,60,141.57,114.69,1,4.51,171.5,0.706364343
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,61,150.06,108.2,1,4.51,182,0.666400107
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,62,150.06,108.2,1,4.51,187,0.666400107
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,63,151.86,106.91,1,4.51,180,0.658501251
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,64,153.65,105.67,1,4.51,221.5,0.650829808
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,65,153.65,105.67,1,4.51,221.5,0.650829808
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,66,150.41,107.94,1,4.51,251.5,0.664849412
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,67,147.16,110.33,1,4.51,247.5,0.679532482
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,68,183.11,88.67,1,4.51,269.5,0.546119819
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,69,170.71,95.11,1,4.51,296,0.585788765
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,70,165.46,98.13,1,4.51,267,0.60437568
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,71,160.2,101.35,1,4.51,279.5,0.624219725
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,72,147.81,109.84,1,4.51,272,0.676544212
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,73,135.41,119.9,1,4.51,224,0.738497895
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,74,139.12,116.71,1,4.51,198.25,0.71880391
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,75,142.82,113.68,1,4.51,176.25,0.700182047
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,76,165.88,97.88,1,4.51,156,0.60284543
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,77,152.98,106.13,1,4.51,135.5,0.65368022
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,78,152.98,106.13,1,4.51,125.19,0.65368022
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,79,147.41,110.14,1,4.51,103,0.678380028
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,80,141.84,114.47,1,4.51,86,0.705019741
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,81,141.84,114.47,1,4.51,91,0.705019741
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,82,141.84,114.47,1,4.51,71.75,0.705019741
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,83,141.84,114.47,1,4.51,62.5,0.705019741
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,84,153.76,105.59,3,4.51,67,0.650364204
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,85,153.63,105.68,3,4.51,72.25,0.650914535
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,86,153.96,105.46,3,4.51,72,0.649519356
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,87,149.68,108.47,3,4.51,67,0.668091929
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,88,163.41,99.36,3,4.51,64.75,0.611957653
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,89,148.14,109.6,3,4.51,62,0.675037127
